,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,3,17,0,1,0,1
0:10:00,10,29,1,3,0,1
0:15:00,14,42,2,3,0,2
0:20:00,18,59,2,3,1,2
0:25:00,24,74,2,3,1,3
0:30:00,35,85,3,3,1,3
0:35:00,39,95,3,4,1,4
0:40:00,48,108,3,4,1,4
0:45:00,53,116,3,5,1,4
0:50:00,58,125,3,5,1,5
0:55:00,63,136,3,6,1,5
1:00:00,73,140,3,7,1,5
1:05:00,79,154,4,7,1,5
1:10:00,85,165,4,7,1,5
1:15:00,89,174,4,8,1,6
1:20:00,94,180,5,8,1,6
1:25:00,99,186,6,8,2,6
1:30:00,102,190,6,8,2,6
1:35:00,107,194,6,8,2,6
1:40:00,115,196,6,8,2,6
1:45:00,117,202,6,8,2,6
1:50:00,125,209,6,8,2,6
1:55:00,130,220,6,8,2,6
2:00:00,136,222,6,8,2,6
2:05:00,141,234,6,8,3,6
2:10:00,144,240,6,8,3,6
2:15:00,146,244,6,8,4,6
2:20:00,150,250,6,8,4,6
2:25:00,156,250,6,8,4,6
2:30:00,159,256,6,8,4,6
2:35:00,165,259,6,8,4,6
2:40:00,174,264,6,8,4,6
2:45:00,182,267,6,8,4,6
2:50:00,189,269,6,8,4,6
2:55:00,193,271,6,8,4,6
3:00:00,196,274,6,8,4,6
3:05:00,202,278,7,8,4,7
3:10:00,216,280,9,9,4,7
3:15:00,224,285,9,9,4,7
3:20:00,232,289,9,9,4,7
3:25:00,237,289,10,9,4,7
3:30:00,250,292,10,9,4,7
3:35:00,259,296,11,9,4,7
3:40:00,271,296,11,9,4,7
3:45:00,284,303,11,9,4,7
3:50:00,297,307,11,9,5,7
3:55:00,308,309,11,9,5,7
4:00:00,321,311,12,9,5,7
4:05:00,334,313,12,10,6,7
4:10:00,348,317,12,10,6,8
4:15:00,369,321,13,10,6,8
4:20:00,392,325,13,10,6,8
4:25:00,408,328,13,10,6,8
4:30:00,433,329,13,10,6,8
4:35:00,457,334,13,10,6,9
4:40:00,480,337,13,12,6,10
4:45:00,509,346,13,13,6,10
4:50:00,537,355,13,13,6,10
4:55:00,567,366,13,14,9,10
5:00:00,593,379,14,15,9,10
5:05:00,630,386,15,15,9,10
5:10:00,667,401,17,15,9,10
5:15:00,696,418,17,16,9,10
5:20:00,727,429,17,17,12,10
5:25:00,773,450,17,18,15,10
5:30:00,816,465,19,19,17,10
5:35:00,861,479,19,19,19,10
5:40:00,906,501,20,21,22,11
5:45:00,965,525,22,22,23,11
5:50:00,999,542,23,23,24,12
5:55:00,1042,556,24,25,28,12
6:00:00,1088,578,24,26,28,13
6:05:00,1139,612,26,29,30,13
6:10:00,1197,652,26,32,32,13
6:15:00,1249,682,26,33,34,13
6:20:00,1290,716,27,33,34,15
6:25:00,1346,743,29,34,40,17
6:30:00,1388,787,30,36,40,17
6:35:00,1431,815,34,37,40,17
6:40:00,1483,851,38,37,41,17
6:45:00,1528,893,40,38,41,18
6:50:00,1583,937,42,39,43,18
6:55:00,1644,985,42,40,47,19
7:00:00,1709,1037,43,41,49,19
7:05:00,1759,1077,46,43,50,20
7:10:00,1819,1124,50,43,53,21
7:15:00,1879,1175,53,44,58,22
7:20:00,1951,1231,56,47,60,26
7:25:00,2016,1281,57,48,63,28
7:30:00,2086,1330,61,48,65,29
7:35:00,2157,1390,63,49,71,30
7:40:00,2233,1439,70,49,74,31
7:45:00,2308,1486,72,49,79,31
7:50:00,2378,1539,73,51,83,35
7:55:00,2443,1579,78,53,84,37
8:00:00,2517,1630,78,55,89,40
