,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,,,,,,
0:10:00,,,,,,
0:15:00,,,,,,
0:20:00,,,,,,
0:25:00,,,,,,
0:30:00,,,,,,
0:35:00,,,,,,
0:40:00,,,,,,
0:45:00,,,,,,
0:50:00,,,,,,
0:55:00,,,,,,
1:00:00,,,,,,
1:05:00,,,,,,
1:10:00,,,,,,
1:15:00,,,,,,
1:20:00,,,,,,
1:25:00,,,,,,
1:30:00,,,,,,
1:35:00,,,,,,
1:40:00,,,,,,
1:45:00,,,,,,
1:50:00,,,,,,
1:55:00,,,,,,
2:00:00,,,,,,
2:05:00,,,,,,
2:10:00,,,,,,
2:15:00,,,,,,
2:20:00,,,,,,
2:25:00,,,,,,
2:30:00,,,,,,
2:35:00,,,,,,
2:40:00,,,,,,
2:45:00,,,,,,
2:50:00,,,,,,
2:55:00,,,,,,
3:00:00,,,,,,
3:05:00,,,,,,
3:10:00,,,,,,
3:15:00,,,,,,
3:20:00,,,,,,
3:25:00,,,,,,
3:30:00,,,,,,
3:35:00,,,,,,
3:40:00,,,,,,
3:45:00,,,,,,
3:50:00,,,,,,
3:55:00,,,,,,
4:00:00,,,,,,
4:05:00,,,,,,
4:10:00,,,,,,
4:15:00,,,,,,
4:20:00,,,,,,
4:25:00,,,,,,
4:30:00,,,,,,
4:35:00,,,,,,
4:40:00,,,,,,
4:45:00,,,,,,
4:50:00,,,,,,
4:55:00,,,,,,
5:00:00,,,,,,
5:05:00,,,,,,
5:10:00,,,,,,
5:15:00,,,,,,
5:20:00,,,,,,
5:25:00,,,,,,
5:30:00,,,,,,
5:35:00,,,,,,
5:40:00,,,,,,
5:45:00,,,,,,
5:50:00,,,,,,
5:55:00,,,,,,
6:00:00,,,,,,
6:05:00,,,,,,
6:10:00,,,,,,
6:15:00,,,,,,
6:20:00,,,,,,
6:25:00,,,,,,
6:30:00,,,,,,
6:35:00,,,,,,
6:40:00,,,,,,
6:45:00,,,,,,
6:50:00,,,,,,
6:55:00,,,,,,
7:00:00,,,,,,
7:05:00,,,,,,
7:10:00,,,,,,
7:15:00,,,,,,
7:20:00,,,,,,
7:25:00,,,,,,
7:30:00,,,,,,
7:35:00,,,,,,
7:40:00,,,,,,
7:45:00,,,,,,
7:50:00,,,,,,
7:55:00,,,,,,
8:00:00,,,,,,
8:05:00,,,,,,
8:10:00,,,,,,
8:15:00,,,,,,
8:20:00,,,,,,
8:25:00,,,,,,
8:30:00,,,,,,
8:35:00,,,,,,
8:40:00,,,,,,
8:45:00,,,,,,
8:50:00,,,,,,
8:55:00,,,,,,
9:00:00,,,,,,
9:05:00,21,24,6,1,0,0
9:10:00,44,40,10,12,1,1
9:15:00,63,67,17,18,1,1
9:20:00,84,85,17,25,1,1
9:25:00,105,105,22,29,1,2
9:30:00,125,126,27,40,1,2
9:35:00,147,142,35,46,1,3
9:40:00,164,161,39,49,1,5
9:45:00,179,182,48,52,1,6
9:50:00,201,194,53,58,1,6
9:55:00,229,208,59,66,1,7
10:00:00,250,218,62,69,1,8
10:05:00,268,239,68,71,1,9
10:10:00,285,250,78,74,1,9
10:15:00,304,270,88,81,1,9
10:20:00,320,296,94,85,1,9
10:25:00,329,306,102,89,2,11
10:30:00,351,323,110,94,2,11
10:35:00,364,346,115,107,2,13
10:40:00,381,362,120,116,2,14
10:45:00,399,375,129,124,2,15
10:50:00,415,390,138,135,2,18
10:55:00,424,399,146,140,2,18
11:00:00,445,407,160,148,4,18
11:05:00,485,437,180,155,4,20
11:10:00,508,454,196,168,4,20
11:15:00,524,462,208,180,5,20
11:20:00,533,478,225,185,5,20
11:25:00,550,500,232,186,5,20
11:30:00,566,518,240,192,5,20
11:35:00,583,534,243,198,7,22
11:40:00,600,548,251,201,8,22
11:45:00,618,558,255,207,8,24
11:50:00,639,577,268,219,9,25
11:55:00,659,593,274,225,12,25
12:00:00,673,607,278,229,12,25
12:05:00,691,624,288,236,12,25
12:10:00,703,636,294,238,12,26
12:15:00,722,651,305,244,16,26
12:20:00,735,659,313,249,17,26
12:25:00,751,688,323,261,20,26
12:30:00,767,701,331,266,24,26
12:35:00,792,710,338,271,24,26
12:40:00,813,732,344,276,25,26
12:45:00,839,751,358,283,25,26
12:50:00,854,770,369,287,26,26
12:55:00,869,781,383,297,27,26
13:00:00,890,807,395,307,29,28
13:05:00,913,829,409,315,31,30
13:10:00,928,841,417,324,32,31
13:15:00,957,862,425,333,34,33
13:20:00,972,881,434,340,34,33
13:25:00,1000,895,441,351,35,34
13:30:00,1021,908,452,358,35,35
13:35:00,1034,923,457,362,36,36
13:40:00,1058,946,477,371,36,36
13:45:00,1073,960,481,376,36,37
13:50:00,1087,982,494,383,36,37
13:55:00,1106,991,497,392,36,38
14:00:00,1118,1006,513,398,36,40
14:05:00,1127,1015,519,410,37,40
14:10:00,1152,1025,533,424,37,41
14:15:00,1177,1039,542,435,37,42
14:20:00,1192,1056,550,440,39,42
14:25:00,1209,1075,564,443,40,44
14:30:00,1227,1092,575,450,42,44
14:35:00,1243,1110,585,462,44,46
14:40:00,1256,1131,595,470,44,46
14:45:00,1276,1146,604,484,44,47
14:50:00,1295,1159,618,493,45,47
14:55:00,1315,1177,631,499,46,48
15:00:00,1346,1196,650,501,47,49
15:05:00,1366,1211,665,510,51,49
15:10:00,1389,1224,685,518,53,49
15:15:00,1397,1242,698,529,54,51
15:20:00,1413,1260,713,536,55,52
15:25:00,1434,1278,724,550,59,54
15:30:00,1449,1294,736,558,61,54
15:35:00,1468,1311,751,561,61,55
15:40:00,1481,1335,769,573,61,56
15:45:00,1499,1352,778,582,63,58
15:50:00,1511,1372,790,595,66,58
15:55:00,1534,1386,800,602,66,59
16:00:00,1563,1411,812,617,71,59
16:05:00,1585,1428,829,627,75,59
16:10:00,1599,1445,849,642,75,60
16:15:00,1619,1468,866,658,76,61
16:20:00,1635,1480,883,669,77,64
16:25:00,1657,1506,898,680,78,66
16:30:00,1676,1531,912,692,78,68
16:35:00,1692,1551,924,705,80,69
16:40:00,1705,1567,932,719,80,69
16:45:00,1719,1578,945,735,80,70
16:50:00,1740,1598,956,747,81,75
16:55:00,1755,1616,969,758,85,76
17:00:00,1769,1639,982,768,88,79
17:05:00,1801,1676,1002,786,90,85
17:10:00,1838,1728,1031,812,95,89
17:15:00,1875,1794,1070,839,102,92
17:20:00,1924,1847,1094,860,110,97
17:25:00,1971,1904,1130,885,113,103
17:30:00,2017,1964,1163,923,117,109
17:35:00,2059,2026,1195,955,122,114
17:40:00,2124,2082,1231,983,131,119
