,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,9,25,0,2,0,1
0:10:00,18,42,1,5,1,2
0:15:00,23,58,1,6,2,2
0:20:00,,,,,,
0:25:00,,,,,,
0:30:00,,,,,,
0:35:00,,,,,,
0:40:00,,,,,,
0:45:00,,,,,,
0:50:00,,,,,,
0:55:00,29,71,1,6,2,2
1:00:00,32,82,1,8,2,3
1:05:00,41,90,1,10,2,3
1:10:00,46,97,2,12,2,3
1:15:00,56,104,2,13,2,3
1:20:00,60,114,2,14,2,3
1:25:00,63,119,2,16,2,3
1:30:00,65,123,2,19,2,3
1:35:00,72,131,3,21,2,3
1:40:00,79,139,3,22,2,4
1:45:00,82,144,3,25,2,5
1:50:00,86,153,4,27,2,5
1:55:00,90,164,5,28,2,5
2:00:00,93,167,6,29,2,5
2:05:00,95,176,6,30,2,5
2:10:00,97,183,6,32,2,5
2:15:00,102,192,6,35,2,5
2:20:00,106,207,6,38,2,5
2:25:00,108,208,6,38,2,5
2:30:00,117,218,7,39,2,5
2:35:00,122,232,7,39,2,5
2:40:00,126,237,7,39,2,5
2:45:00,129,246,8,39,2,6
2:50:00,135,251,10,39,3,6
2:55:00,139,257,11,39,4,6
3:00:00,154,264,11,41,4,6
3:05:00,167,270,11,42,4,6
3:10:00,179,276,11,43,5,6
3:15:00,186,282,11,43,6,6
3:20:00,193,289,11,44,6,6
3:25:00,204,299,11,44,6,6
3:30:00,213,304,12,44,6,6
3:35:00,227,307,12,44,6,6
3:40:00,239,313,12,45,6,6
3:45:00,253,320,13,48,6,6
3:50:00,268,324,13,48,6,6
3:55:00,278,327,14,50,7,6
4:00:00,290,333,14,52,7,6
4:05:00,308,342,14,55,7,6
4:10:00,330,349,14,58,7,6
4:15:00,354,359,15,61,7,7
4:20:00,383,367,16,64,7,7
4:25:00,406,374,16,67,7,7
4:30:00,441,378,18,69,7,8
4:35:00,466,387,19,71,8,9
4:40:00,489,401,20,77,9,10
4:45:00,514,408,21,79,10,10
4:50:00,548,422,23,81,11,11
4:55:00,578,432,25,84,14,11
5:00:00,597,448,25,88,15,11
5:05:00,631,460,25,94,16,11
5:10:00,659,475,27,98,17,11
5:15:00,690,494,28,104,17,12
5:20:00,731,508,29,107,18,15
5:25:00,772,525,32,114,21,18
5:30:00,814,545,32,121,22,19
5:35:00,859,566,33,125,24,19
5:40:00,916,593,33,133,24,19
5:45:00,949,616,35,139,24,20
