,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,17,40,0,0,0,0
0:10:00,32,83,0,1,0,0
0:15:00,49,129,0,4,1,1
0:20:00,56,161,0,5,1,1
0:25:00,71,194,0,5,1,1
0:30:00,82,218,0,8,1,1
0:35:00,99,242,0,9,1,1
0:40:00,109,261,0,11,3,3
0:45:00,123,291,0,12,3,3
0:50:00,136,310,0,12,3,3
0:55:00,145,331,0,13,3,3
1:00:00,160,353,0,14,3,3
1:05:00,170,363,0,15,3,3
1:10:00,181,377,0,16,3,4
1:15:00,197,401,1,16,3,6
1:20:00,208,417,1,16,3,6
1:25:00,218,436,1,17,3,6
1:30:00,231,454,1,17,3,6
1:35:00,243,468,1,17,3,7
1:40:00,250,485,1,17,3,7
1:45:00,261,497,1,17,3,7
1:50:00,270,515,1,17,3,7
1:55:00,281,532,1,18,3,7
2:00:00,296,545,1,18,3,7
2:05:00,313,559,1,18,3,7
2:10:00,321,567,1,18,4,7
2:15:00,335,582,1,18,4,8
2:20:00,347,603,2,18,4,9
2:25:00,353,615,3,18,4,9
2:30:00,366,635,3,18,4,9
2:35:00,383,648,3,18,4,9
2:40:00,400,660,3,18,5,9
2:45:00,408,667,3,18,5,9
2:50:00,426,674,4,18,5,9
2:55:00,441,680,4,18,5,9
3:00:00,459,692,4,19,6,9
3:05:00,475,698,4,19,6,9
3:10:00,495,707,4,19,6,9
3:15:00,506,718,4,19,6,9
3:20:00,521,731,4,19,6,9
3:25:00,542,738,5,19,9,9
3:30:00,574,748,6,19,9,9
3:35:00,597,764,6,19,9,9
3:40:00,623,775,6,20,9,9
3:45:00,648,783,6,20,9,9
3:50:00,667,792,6,21,9,9
3:55:00,702,805,6,21,9,9
4:00:00,734,812,6,22,9,9
4:05:00,756,822,6,22,9,10
4:10:00,804,831,7,22,9,10
4:15:00,840,840,8,23,10,10
4:20:00,879,851,8,24,11,11
4:25:00,927,862,9,24,13,12
4:30:00,963,873,9,24,14,12
4:35:00,1012,888,10,25,14,14
4:40:00,1062,903,10,27,14,14
4:45:00,1123,923,10,27,15,14
4:50:00,1178,945,11,28,16,14
4:55:00,1254,969,11,28,17,15
5:00:00,1333,994,11,28,20,16
5:05:00,1405,1029,11,28,20,17
5:10:00,1460,1060,12,32,21,18
5:15:00,1511,1102,12,32,24,18
5:20:00,1588,1139,14,33,30,19
5:25:00,1657,1171,15,33,32,19
5:30:00,1740,1216,17,34,35,19
5:35:00,1829,1256,17,34,40,20
5:40:00,1918,1295,17,35,43,22
5:45:00,1989,1331,18,38,46,22
5:50:00,2071,1366,19,41,49,23
5:55:00,2148,1409,20,41,50,25
6:00:00,2228,1456,20,42,52,26
6:05:00,2301,1498,20,42,57,27
6:10:00,2383,1538,20,43,59,27
