,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,2,4,0,3,0,0
0:10:00,3,12,0,4,0,0
0:15:00,5,23,1,5,0,0
0:20:00,7,29,1,6,0,0
0:25:00,9,37,1,9,0,0
0:30:00,10,41,1,10,0,0
0:35:00,13,46,1,11,0,0
0:40:00,13,52,1,11,0,0
0:45:00,13,53,1,11,0,2
0:50:00,14,56,1,12,0,2
0:55:00,15,59,1,12,1,2
1:00:00,18,64,1,14,1,2
1:05:00,20,64,1,14,1,2
1:10:00,22,66,1,15,1,2
1:15:00,22,67,1,15,1,2
1:20:00,26,69,1,15,1,2
1:25:00,30,71,1,15,1,2
1:30:00,32,74,1,16,1,2
1:35:00,32,80,1,16,1,2
1:40:00,32,83,1,17,1,2
1:45:00,33,85,1,19,1,2
1:50:00,34,91,1,20,1,2
1:55:00,36,96,1,20,1,2
2:00:00,37,100,1,20,1,2
2:05:00,39,101,1,21,1,2
2:10:00,40,102,1,22,1,2
2:15:00,40,103,2,22,1,2
2:20:00,41,105,2,22,1,2
2:25:00,42,106,2,22,1,2
2:30:00,43,108,2,22,1,2
2:35:00,45,111,2,22,1,2
2:40:00,46,115,2,23,1,2
2:45:00,48,116,2,24,2,2
2:50:00,49,117,2,24,2,2
2:55:00,50,118,2,24,2,2
3:00:00,52,119,2,24,2,2
3:05:00,55,121,2,24,3,2
3:10:00,56,122,2,24,3,2
3:15:00,57,122,2,25,3,2
3:20:00,59,124,2,25,3,2
3:25:00,59,124,2,25,3,2
3:30:00,61,126,3,25,3,2
3:35:00,62,128,3,25,3,2
3:40:00,62,130,3,25,4,2
3:45:00,64,130,3,25,4,2
3:50:00,68,130,3,26,4,2
3:55:00,70,131,3,27,4,2
4:00:00,75,132,4,27,4,2
4:05:00,81,136,4,28,5,2
4:10:00,86,140,4,28,5,2
4:15:00,89,142,4,28,5,2
4:20:00,95,144,4,31,5,2
4:25:00,101,146,4,32,5,3
4:30:00,107,152,6,33,6,3
4:35:00,114,158,7,33,6,3
4:40:00,121,163,7,34,7,3
4:45:00,133,166,7,34,7,3
4:50:00,137,172,7,37,8,3
4:55:00,148,176,8,39,9,4
5:00:00,158,185,9,41,9,4
5:05:00,170,188,10,41,9,4
5:10:00,180,197,10,43,9,4
5:15:00,186,202,10,44,9,4
5:20:00,195,207,10,45,9,4
5:25:00,217,212,10,48,9,4
5:30:00,232,223,10,48,9,4
5:35:00,246,233,10,55,10,4
5:40:00,264,243,10,57,10,4
5:45:00,280,248,10,60,10,4
5:50:00,293,260,10,62,10,5
5:55:00,310,273,11,66,10,5
6:00:00,325,285,11,69,10,6
6:05:00,336,300,12,72,10,6
6:10:00,348,312,14,75,10,10
6:15:00,356,326,15,82,11,10
6:20:00,367,351,15,87,11,10
6:25:00,385,369,16,93,11,10
6:30:00,389,382,16,97,12,10
6:35:00,410,400,17,100,13,10
6:40:00,428,417,18,107,14,10
6:45:00,443,434,21,120,14,12
6:50:00,468,466,24,131,14,12
6:55:00,501,481,25,140,17,13
7:00:00,523,499,31,152,19,14
7:05:00,552,528,36,160,21,14
7:10:00,582,561,53,164,23,16
7:15:00,606,588,62,176,24,18
7:20:00,630,614,69,186,25,19
7:25:00,665,643,76,199,26,21
7:30:00,686,664,88,213,26,24
7:35:00,723,681,97,228,30,25
7:40:00,748,715,104,232,32,27
7:45:00,784,742,107,237,33,28
7:50:00,808,766,109,238,35,28
7:55:00,838,805,112,239,35,30
8:00:00,867,839,114,241,36,31
8:05:00,913,860,117,245,36,31
8:10:00,947,894,120,248,36,31
8:15:00,991,927,122,253,36,32
8:20:00,1030,952,123,254,36,32
8:25:00,1065,983,125,257,36,32
8:30:00,1104,1023,130,262,37,32
8:35:00,1139,1052,131,266,37,32
8:40:00,1180,1091,139,271,37,32
8:45:00,1220,1151,151,279,37,32
8:50:00,1243,1182,157,280,38,32
8:55:00,1273,1202,160,283,39,32
9:00:00,1278,1213,168,288,39,32
9:05:00,1296,1240,179,294,39,34
9:10:00,1320,1273,187,303,39,35
9:15:00,1346,1300,194,311,40,38
9:20:00,1380,1329,199,322,40,38
9:25:00,1415,1364,209,330,40,38
9:30:00,1451,1397,217,344,40,41
9:35:00,1477,1425,223,348,41,45
9:40:00,1505,1445,228,355,41,47
9:45:00,1542,1461,245,364,41,47
9:50:00,1566,1483,249,367,41,48
9:55:00,1590,1501,255,371,41,48
10:00:00,1606,1523,269,372,42,49
10:05:00,1622,1544,274,373,43,49
10:10:00,1638,1564,283,375,44,49
10:15:00,1652,1579,288,379,45,49
10:20:00,1678,1600,300,386,45,49
10:25:00,1696,1620,307,392,45,51
10:30:00,1707,1637,312,410,45,52
10:35:00,1736,1653,322,426,46,55
10:40:00,1774,1667,337,434,46,55
10:45:00,1817,1686,360,445,48,55
10:50:00,1860,1702,376,457,49,56
10:55:00,1888,1719,396,468,49,58
11:00:00,1908,1735,412,486,49,58
11:05:00,1926,1750,418,499,49,58
11:10:00,1947,1773,427,513,49,59
11:15:00,1974,1787,438,523,50,60
11:20:00,2006,1810,450,529,51,60
