,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,,,,,,
0:10:00,,,,,,
0:15:00,,,,,,
0:20:00,,,,,,
0:25:00,,,,,,
0:30:00,,,,,,
0:35:00,,,,,,
0:40:00,,,,,,
0:45:00,,,,,,
0:50:00,,,,,,
0:55:00,,,,,,
1:00:00,,,,,,
1:05:00,,,,,,
1:10:00,,,,,,
1:15:00,,,,,,
1:20:00,,,,,,
1:25:00,,,,,,
1:30:00,,,,,,
1:35:00,,,,,,
1:40:00,,,,,,
1:45:00,,,,,,
1:50:00,,,,,,
1:55:00,,,,,,
2:00:00,,,,,,
2:05:00,,,,,,
2:10:00,,,,,,
2:15:00,,,,,,
2:20:00,,,,,,
2:25:00,,,,,,
2:30:00,,,,,,
2:35:00,,,,,,
2:40:00,,,,,,
2:45:00,,,,,,
2:50:00,,,,,,
2:55:00,,,,,,
3:00:00,,,,,,
3:05:00,,,,,,
3:10:00,,,,,,
3:15:00,,,,,,
3:20:00,,,,,,
3:25:00,,,,,,
3:30:00,,,,,,
3:35:00,,,,,,
3:40:00,,,,,,
3:45:00,,,,,,
3:50:00,,,,,,
3:55:00,,,,,,
4:00:00,,,,,,
4:05:00,,,,,,
4:10:00,,,,,,
4:15:00,,,,,,
4:20:00,,,,,,
4:25:00,,,,,,
4:30:00,,,,,,
4:35:00,,,,,,
4:40:00,,,,,,
4:45:00,,,,,,
4:50:00,,,,,,
4:55:00,,,,,,
5:00:00,,,,,,
5:05:00,,,,,,
5:10:00,,,,,,
5:15:00,,,,,,
5:20:00,,,,,,
5:25:00,,,,,,
5:30:00,,,,,,
5:35:00,,,,,,
5:40:00,,,,,,
5:45:00,,,,,,
5:50:00,,,,,,
5:55:00,,,,,,
6:00:00,,,,,,
6:05:00,,,,,,
6:10:00,,,,,,
6:15:00,,,,,,
6:20:00,,,,,,
6:25:00,,,,,,
6:30:00,,,,,,
6:35:00,,,,,,
6:40:00,,,,,,
6:45:00,,,,,,
6:50:00,,,,,,
6:55:00,,,,,,
7:00:00,,,,,,
7:05:00,,,,,,
7:10:00,,,,,,
7:15:00,,,,,,
7:20:00,,,,,,
7:25:00,,,,,,
7:30:00,,,,,,
7:35:00,,,,,,
7:40:00,,,,,,
7:45:00,,,,,,
7:50:00,,,,,,
7:55:00,,,,,,
8:00:00,,,,,,
8:05:00,,,,,,
8:10:00,,,,,,
8:15:00,,,,,,
8:20:00,,,,,,
8:25:00,,,,,,
8:30:00,,,,,,
8:35:00,,,,,,
8:40:00,,,,,,
8:45:00,,,,,,
8:50:00,,,,,,
8:55:00,,,,,,
9:00:00,,,,,,
9:05:00,44,43,6,3,1,3
9:10:00,96,84,15,9,4,5
9:15:00,135,121,17,10,7,6
9:20:00,173,156,28,10,10,7
9:25:00,222,197,37,12,12,11
9:30:00,252,237,41,18,13,17
9:35:00,303,282,55,21,15,17
9:40:00,336,311,61,22,18,18
9:45:00,376,340,65,23,20,21
9:50:00,414,364,68,25,23,21
9:55:00,445,399,71,26,25,23
10:00:00,479,427,77,27,26,25
10:05:00,505,449,80,30,26,26
10:10:00,563,484,91,30,29,26
10:15:00,602,518,93,34,29,29
10:20:00,635,557,102,37,31,29
10:25:00,677,590,104,38,31,31
10:30:00,710,622,110,41,35,32
10:35:00,756,650,113,43,37,32
10:40:00,790,678,120,48,41,33
10:45:00,838,705,125,54,41,35
10:50:00,872,740,131,55,44,35
10:55:00,912,774,138,59,45,36
11:00:00,944,806,144,60,46,39
11:05:00,1025,880,154,64,54,41
11:10:00,1073,915,159,70,57,42
11:15:00,1109,934,168,71,59,43
11:20:00,1154,962,172,75,59,46
11:25:00,1190,984,174,79,61,48
11:30:00,1226,1021,180,83,64,49
11:35:00,1265,1054,184,87,67,52
11:40:00,1318,1077,190,90,68,55
11:45:00,1353,1114,194,93,69,57
11:50:00,1399,1144,197,94,70,58
11:55:00,1437,1179,202,98,71,58
12:00:00,1482,1207,206,100,72,60
12:05:00,1523,1236,211,102,75,60
12:10:00,1572,1264,217,106,79,62
12:15:00,1611,1305,224,111,80,65
12:20:00,1642,1343,226,118,82,66
12:25:00,1675,1377,230,122,83,66
12:30:00,1719,1405,236,125,85,68
12:35:00,1760,1433,247,125,87,68
12:40:00,1804,1461,247,126,93,74
12:45:00,1846,1499,252,127,94,74
12:50:00,1887,1534,257,128,97,78
12:55:00,1928,1566,262,131,100,81
13:00:00,1988,1608,265,133,103,85
13:05:00,2019,1622,270,134,105,86
13:10:00,2064,1652,275,135,108,89
13:15:00,2107,1698,278,137,110,90
13:20:00,2158,1734,283,139,114,94
13:25:00,2194,1765,288,144,117,96
13:30:00,2231,1796,291,147,121,97
13:35:00,2273,1821,298,150,124,98
13:40:00,2314,1851,302,154,126,102
13:45:00,2347,1893,304,157,129,105
13:50:00,2383,1937,308,160,131,106
13:55:00,2413,1973,311,163,135,106
14:00:00,2458,2006,315,164,138,110
14:05:00,2505,2033,317,165,142,110
14:10:00,2544,2064,319,167,143,111
14:15:00,2591,2102,324,171,146,114
14:20:00,2629,2145,331,171,149,118
14:25:00,2662,2187,335,177,151,121
14:30:00,2710,2222,342,180,157,124
14:35:00,2741,2254,347,182,160,124
14:40:00,2772,2291,352,182,162,127
14:45:00,2803,2337,354,183,163,133
14:50:00,2848,2367,355,186,166,138
14:55:00,2900,2404,365,189,170,139
15:00:00,2944,2456,371,192,174,142
15:05:00,2983,2502,373,195,177,147
15:10:00,3028,2541,375,198,179,149
15:15:00,3067,2574,379,202,181,151
15:20:00,3094,2616,381,205,183,153
15:25:00,3130,2670,387,210,189,155
15:30:00,3171,2711,392,211,197,157
15:35:00,3213,2752,399,215,201,161
15:40:00,3259,2804,404,216,205,164
15:45:00,3300,2849,407,220,207,169
15:50:00,3338,2886,410,222,208,171
15:55:00,3383,2929,415,224,213,173
16:00:00,3435,2983,421,234,219,173
16:05:00,3486,3040,423,237,220,179
16:10:00,3527,3081,428,238,225,183
16:15:00,3560,3138,431,245,228,183
16:20:00,3604,3208,431,249,229,186
16:25:00,3638,3255,432,260,232,188
16:30:00,3678,3302,434,264,234,192
16:35:00,3710,3353,440,265,239,198
16:40:00,3745,3414,441,270,243,200
16:45:00,3777,3480,442,271,246,205
16:50:00,3812,3545,444,273,252,209
16:55:00,3858,3620,447,276,254,214
17:00:00,3910,3685,447,280,258,217
17:05:00,3989,3782,452,285,262,219
17:10:00,4081,3922,457,287,266,228
17:15:00,4199,4084,462,292,274,237
17:20:00,4298,4233,470,296,281,242
17:25:00,4402,4379,476,301,287,248
17:30:00,4512,4503,483,301,297,255
