,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,19,29,0,2,0,1
0:10:00,36,75,0,2,0,2
0:15:00,61,124,0,2,0,5
0:20:00,,,,,,
0:25:00,,,,,,
0:30:00,,,,,,
0:35:00,,,,,,
0:40:00,,,,,,
0:45:00,,,,,,
0:50:00,,,,,,
0:55:00,88,146,0,4,0,5
1:00:00,106,170,0,4,1,5
1:05:00,119,180,0,6,1,5
1:10:00,137,203,1,7,1,5
1:15:00,151,226,2,7,1,5
1:20:00,170,256,2,11,1,5
1:25:00,184,282,3,11,1,5
1:30:00,198,305,3,11,1,5
1:35:00,210,316,3,11,1,5
1:40:00,231,334,3,12,1,5
1:45:00,247,356,3,12,1,5
1:50:00,256,370,4,12,2,5
1:55:00,274,386,4,12,2,6
2:00:00,288,400,4,14,2,6
2:05:00,309,414,4,14,3,7
2:10:00,325,439,4,15,3,7
2:15:00,340,462,4,15,3,7
2:20:00,358,484,4,16,3,7
2:25:00,370,498,4,17,4,7
2:30:00,389,510,4,17,4,7
2:35:00,402,521,5,18,4,8
2:40:00,418,532,5,18,4,8
2:45:00,437,551,6,18,4,8
2:50:00,455,571,7,18,6,9
2:55:00,475,580,8,18,7,9
3:00:00,503,592,8,18,7,9
3:05:00,525,602,9,18,7,9
3:10:00,549,616,9,18,8,9
3:15:00,577,628,9,18,10,9
3:20:00,597,637,9,18,12,9
3:25:00,622,650,9,18,12,10
3:30:00,655,664,10,19,12,10
3:35:00,695,671,10,20,13,10
3:40:00,736,682,10,20,14,10
3:45:00,762,688,11,20,14,10
3:50:00,807,702,12,20,14,12
3:55:00,849,715,12,21,15,12
4:00:00,892,732,12,22,16,12
4:05:00,949,741,12,22,17,12
4:10:00,1005,753,12,22,18,13
4:15:00,1066,766,13,22,20,13
4:20:00,1117,782,16,23,22,14
4:25:00,1177,796,17,23,23,14
4:30:00,1242,812,17,24,23,14
4:35:00,1331,836,17,25,24,16
4:40:00,1420,855,18,25,25,16
4:45:00,1503,878,18,26,27,16
4:50:00,1584,915,19,27,27,18
4:55:00,1669,951,19,28,32,18
5:00:00,1753,991,20,30,34,19
5:05:00,1849,1025,22,30,35,22
5:10:00,1933,1069,23,31,37,23
5:15:00,2041,1111,23,32,38,23
5:20:00,2153,1158,25,33,43,23
5:25:00,2293,1210,28,34,50,24
5:30:00,2405,1253,29,35,52,26
5:35:00,2548,1317,31,36,57,26
5:40:00,2688,1388,33,38,60,26
5:45:00,2827,1452,36,39,66,26
5:50:00,2958,1510,39,40,67,27
5:55:00,3083,1586,40,44,70,27
6:00:00,3232,1660,43,46,75,29
6:05:00,3368,1746,47,47,79,29
6:10:00,3505,1831,49,48,84,31
6:15:00,3629,1915,52,52,87,31
6:20:00,3766,2009,54,56,89,35
6:25:00,3911,2092,57,60,91,36
6:30:00,4043,2164,60,62,98,39
6:35:00,4218,2234,66,64,102,45
6:40:00,4393,2313,71,66,106,48
6:45:00,4545,2405,75,70,112,51
6:50:00,4693,2490,82,72,119,53
6:55:00,4830,2604,91,77,124,55
7:00:00,4982,2706,102,80,131,59
7:05:00,5134,2797,111,82,141,63
7:10:00,5259,2897,122,84,152,69
7:15:00,,,,,,
7:20:00,,,,,,
7:25:00,,,,,,
7:30:00,,,,,,
7:35:00,,,,,,
7:40:00,,,,,,
7:45:00,,,,,,
7:50:00,,,,,,
7:55:00,,,,,,
8:00:00,,,,,,
8:05:00,,,,,,
8:10:00,,,,,,
8:15:00,,,,,,
8:20:00,,,,,,
8:25:00,,,,,,
8:30:00,,,,,,
8:35:00,,,,,,
8:40:00,,,,,,
8:45:00,,,,,,
8:50:00,,,,,,
8:55:00,,,,,,
9:00:00,,,,,,
9:05:00,5333,2998,131,87,158,77
9:10:00,5447,3092,155,93,167,85
9:15:00,5549,3213,176,95,176,96
9:20:00,5674,3341,203,101,183,104
9:25:00,5782,3446,223,105,192,113
9:30:00,5916,3540,243,116,195,117
9:35:00,6027,3661,268,127,203,122
9:40:00,6124,3769,298,136,209,125
9:45:00,6212,3866,320,141,214,133
9:50:00,6311,3961,350,145,219,139
9:55:00,6401,4055,370,168,230,148
10:00:00,6517,4130,390,178,239,153
10:05:00,6610,4197,408,189,246,161
10:10:00,,,,,,
10:15:00,,,,,,
10:20:00,,,,,,
10:25:00,,,,,,
10:30:00,,,,,,
10:35:00,,,,,,
10:40:00,,,,,,
10:45:00,,,,,,
10:50:00,,,,,,
10:55:00,,,,,,
11:00:00,,,,,,
11:05:00,,,,,,
11:10:00,,,,,,
11:15:00,,,,,,
11:20:00,,,,,,
11:25:00,,,,,,
11:30:00,,,,,,
11:35:00,,,,,,
11:40:00,,,,,,
11:45:00,,,,,,
11:50:00,,,,,,
11:55:00,6705,4284,420,195,253,169
12:00:00,6829,4379,440,206,259,176
12:05:00,6938,4474,455,217,268,177
12:10:00,7065,4563,472,229,277,180
12:15:00,7167,4661,488,242,278,189
12:20:00,7284,4740,505,252,289,196
12:25:00,7401,4832,521,260,293,200
12:30:00,7521,4926,539,269,301,205
12:35:00,7658,5019,551,275,303,215
12:40:00,7764,5100,564,282,309,223
12:45:00,7879,5177,586,289,315,228
12:50:00,7984,5257,589,297,321,235
12:55:00,8102,5368,604,304,327,237
13:00:00,8220,5440,617,308,339,244
13:05:00,8360,5543,634,318,342,248
13:10:00,8486,5642,650,323,349,256
13:15:00,8609,5721,664,332,354,261
13:20:00,8733,5811,675,341,359,269
13:25:00,8837,5907,688,353,368,277
13:30:00,8942,6011,704,358,373,281
13:35:00,9061,6115,715,366,378,289
13:40:00,9173,6195,729,373,388,294
13:45:00,9290,6286,743,383,393,300
13:50:00,9400,6378,755,389,397,304
13:55:00,9503,6472,765,400,407,307
14:00:00,9613,6597,779,411,410,311
14:05:00,9694,6699,793,420,419,318
14:10:00,9806,6794,804,436,424,322
14:15:00,9919,6881,815,444,427,328
14:20:00,10040,6974,830,453,432,335
14:25:00,10147,7088,849,467,434,345
14:30:00,10262,7171,867,472,440,347
14:35:00,10375,7254,877,479,445,353
14:40:00,10471,7350,893,489,449,359
14:45:00,10590,7449,903,500,454,363
14:50:00,10697,7565,914,505,461,367
14:55:00,,,,,,
15:00:00,,,,,,
15:05:00,,,,,,
15:10:00,10833,7671,927,509,464,375
15:15:00,10956,7779,942,520,471,383
15:20:00,11089,7893,963,532,476,388
15:25:00,11224,7996,974,541,486,395
15:30:00,11360,8101,984,548,491,403
15:35:00,11478,8215,1004,556,496,409
15:40:00,11622,8340,1022,565,501,412
15:45:00,11744,8451,1036,579,504,421
15:50:00,11892,8584,1042,584,509,429
15:55:00,12001,8699,1053,593,515,440
16:00:00,12111,8829,1064,605,520,451
16:05:00,12241,8934,1072,608,526,461
16:10:00,12370,9059,1082,616,532,467
16:15:00,12487,9203,1088,630,542,478
16:20:00,12634,9340,1094,638,546,489
16:25:00,12770,9477,1104,648,558,496
16:30:00,12900,9609,1115,662,567,503
16:35:00,13037,9762,1124,671,575,515
16:40:00,13155,9905,1129,676,579,521
16:45:00,13300,10036,1137,683,587,538
16:50:00,13414,10175,1146,692,592,545
16:55:00,13574,10327,1154,700,600,555
17:00:00,13704,10454,1159,709,608,566
17:05:00,13834,10608,1161,716,616,576
17:10:00,13964,10753,1166,728,619,582
17:15:00,14082,10894,1172,734,625,590
17:20:00,14234,11067,1180,737,635,593
17:25:00,14354,11220,1185,741,637,597
17:30:00,14486,11374,1193,747,642,604
17:35:00,14622,11519,1201,753,653,610
17:40:00,14754,11655,1212,759,662,620
17:45:00,14900,11787,1216,766,666,625
17:50:00,15019,11944,1223,776,668,632
17:55:00,15158,12090,1228,786,674,639
18:00:00,15288,12247,1237,792,681,643
18:05:00,15430,12383,1242,797,684,652
18:10:00,15562,12523,1247,804,692,657
18:15:00,15698,12716,1252,812,697,663
18:20:00,15818,12903,1256,816,701,666
18:25:00,15940,13090,1268,827,702,673
18:30:00,16072,13261,1280,838,707,677
18:35:00,16195,13430,1287,849,709,684
18:40:00,16324,13600,1291,857,716,689
18:45:00,16419,13757,1295,861,718,698
18:50:00,16532,13923,1297,869,719,700
18:55:00,16660,14078,1298,874,722,708
19:00:00,16765,14206,1300,879,723,713
19:05:00,16869,14333,1302,883,726,715
19:10:00,16954,14458,1306,888,728,720
19:15:00,17051,14577,1307,895,732,722
19:20:00,17156,14705,1310,899,734,723
19:25:00,17238,14824,1315,902,740,728
19:30:00,17303,14925,1318,903,741,733
19:35:00,17376,15035,1321,906,745,737
19:40:00,17463,15151,1321,908,749,740
19:45:00,17535,15265,1321,911,750,740
19:50:00,17627,15382,1322,913,753,744
19:55:00,17712,15470,1327,916,756,749
20:00:00,17819,15572,1329,917,760,749
20:05:00,17890,15671,1331,923,764,750
20:10:00,17969,15759,1332,926,767,752
20:15:00,18061,15851,1334,930,769,755
20:20:00,18132,15948,1337,930,771,758
20:25:00,18206,16053,1338,936,774,760
20:30:00,18302,16153,1339,940,776,763
20:35:00,18393,16240,1340,945,778,763
20:40:00,18474,16326,1343,947,783,767
20:45:00,18543,16404,1345,954,786,770
20:50:00,18620,16467,1347,958,789,773
20:55:00,18686,16563,1347,958,794,774
21:00:00,18760,16627,1349,960,796,775
21:05:00,18831,16703,1349,963,801,779
21:10:00,18912,16786,1352,967,802,779
21:15:00,18976,16872,1352,972,803,783
21:20:00,19039,16948,1354,974,805,787
21:25:00,19095,17026,1355,976,807,790
