,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,8,61,0,0,0,1
0:10:00,,,,,,
0:15:00,,,,,,
0:20:00,,,,,,
0:25:00,,,,,,
0:30:00,,,,,,
0:35:00,,,,,,
0:40:00,,,,,,
0:45:00,,,,,,
0:50:00,,,,,,
0:55:00,,,,,,
1:00:00,,,,,,
1:05:00,,,,,,
1:10:00,,,,,,
1:15:00,,,,,,
1:20:00,,,,,,
1:25:00,,,,,,
1:30:00,,,,,,
1:35:00,,,,,,
1:40:00,,,,,,
1:45:00,,,,,,
1:50:00,,,,,,
1:55:00,,,,,,
2:00:00,,,,,,
2:05:00,,,,,,
2:10:00,,,,,,
2:15:00,,,,,,
2:20:00,,,,,,
2:25:00,,,,,,
2:30:00,,,,,,
2:35:00,,,,,,
2:40:00,,,,,,
2:45:00,12,65,0,0,0,1
2:50:00,16,72,0,0,0,1
2:55:00,20,73,0,0,0,1
3:00:00,21,74,0,0,0,1
3:05:00,,,,,,
3:10:00,,,,,,
3:15:00,,,,,,
3:20:00,,,,,,
3:25:00,,,,,,
3:30:00,,,,,,
3:35:00,,,,,,
3:40:00,,,,,,
3:45:00,,,,,,
3:50:00,,,,,,
3:55:00,,,,,,
4:00:00,,,,,,
4:05:00,,,,,,
4:10:00,,,,,,
4:15:00,,,,,,
4:20:00,,,,,,
4:25:00,,,,,,
4:30:00,,,,,,
4:35:00,,,,,,
4:40:00,,,,,,
4:45:00,,,,,,
4:50:00,,,,,,
4:55:00,,,,,,
5:00:00,,,,,,
5:05:00,,,,,,
5:10:00,,,,,,
5:15:00,,,,,,
5:20:00,,,,,,
5:25:00,,,,,,
5:30:00,,,,,,
5:35:00,,,,,,
5:40:00,,,,,,
5:45:00,,,,,,
5:50:00,,,,,,
5:55:00,,,,,,
6:00:00,,,,,,
6:05:00,,,,,,
6:10:00,,,,,,
6:15:00,,,,,,
6:20:00,,,,,,
6:25:00,,,,,,
6:30:00,,,,,,
6:35:00,,,,,,
6:40:00,,,,,,
6:45:00,,,,,,
6:50:00,,,,,,
6:55:00,,,,,,
7:00:00,,,,,,
7:05:00,,,,,,
7:10:00,,,,,,
7:15:00,,,,,,
7:20:00,,,,,,
7:25:00,,,,,,
7:30:00,,,,,,
7:35:00,,,,,,
7:40:00,,,,,,
7:45:00,,,,,,
7:50:00,,,,,,
7:55:00,,,,,,
8:00:00,,,,,,
8:05:00,,,,,,
8:10:00,,,,,,
8:15:00,,,,,,
8:20:00,,,,,,
8:25:00,,,,,,
8:30:00,,,,,,
8:35:00,,,,,,
8:40:00,,,,,,
8:45:00,,,,,,
8:50:00,,,,,,
8:55:00,,,,,,
9:00:00,,,,,,
9:05:00,115,159,13,6,8,9
9:10:00,216,278,24,10,16,11
9:15:00,304,403,36,15,20,14
9:20:00,405,507,43,18,25,15
9:25:00,514,625,51,26,31,21
9:30:00,595,741,60,31,35,28
9:35:00,719,862,77,38,39,31
9:40:00,832,934,90,45,41,37
9:45:00,950,1045,106,52,42,38
9:50:00,1043,1139,114,57,46,43
9:55:00,1164,1229,124,62,49,48
10:00:00,1278,1304,135,63,57,54
10:05:00,1371,1395,141,67,63,56
10:10:00,1484,1489,152,76,68,58
10:15:00,1604,1585,159,81,72,65
10:20:00,1745,1672,168,87,78,70
10:25:00,1885,1772,177,96,82,76
10:30:00,1995,1863,182,99,86,80
10:35:00,2148,1974,188,102,91,81
10:40:00,2267,2068,195,108,94,85
10:45:00,2407,2157,202,111,97,89
10:50:00,2523,2261,210,117,102,91
10:55:00,2675,2360,220,121,107,94
11:00:00,2809,2475,224,126,109,101
11:05:00,2949,2567,232,130,115,107
11:10:00,3088,2675,246,138,120,111
11:15:00,3246,2766,255,140,125,117
11:20:00,3398,2857,268,144,127,123
11:25:00,3555,2952,288,153,133,131
11:30:00,3705,3054,295,157,138,136
11:35:00,3856,3174,311,160,142,140
11:40:00,4020,3296,322,167,148,145
11:45:00,4168,3407,336,175,151,147
11:50:00,4339,3514,349,178,159,149
11:55:00,4489,3603,360,181,167,154
12:00:00,4646,3695,371,183,174,162
12:05:00,4833,3807,389,187,181,162
12:10:00,4996,3897,405,190,187,166
12:15:00,5145,3998,422,195,191,170
12:20:00,5330,4109,447,198,195,175
12:25:00,5506,4196,476,202,199,179
12:30:00,5676,4299,489,204,201,180
12:35:00,5838,4391,507,211,206,183
12:40:00,6006,4498,534,215,212,186
12:45:00,6163,4605,548,217,219,190
12:50:00,6326,4719,567,223,222,194
12:55:00,6494,4814,576,226,226,195
13:00:00,6663,4921,593,228,230,198
13:05:00,6829,5025,613,231,233,203
13:10:00,6986,5117,626,233,238,204
13:15:00,7132,5218,637,235,246,207
13:20:00,7279,5332,653,240,258,209
13:25:00,7414,5455,668,241,263,217
13:30:00,7586,5572,677,243,275,220
13:35:00,7742,5695,695,246,278,228
13:40:00,7885,5806,709,248,284,234
13:45:00,8022,5931,718,251,288,240
13:50:00,8159,6054,735,255,291,242
13:55:00,8286,6195,752,256,297,246
14:00:00,8428,6295,759,260,303,249
14:05:00,8565,6416,775,265,305,252
14:10:00,8696,6553,787,269,308,254
14:15:00,8833,6662,805,275,314,257
14:20:00,8977,6792,817,279,322,264
14:25:00,9121,6911,826,281,326,272
14:30:00,9264,7037,833,286,330,274
14:35:00,9394,7180,842,289,331,279
14:40:00,9542,7325,854,293,334,282
14:45:00,9695,7446,873,298,334,291
14:50:00,9845,7586,894,300,337,296
14:55:00,9957,7726,916,304,344,300
15:00:00,10077,7856,939,309,347,301
15:05:00,10212,7990,955,310,351,309
15:10:00,10336,8129,978,316,353,311
15:15:00,10482,8257,1004,324,355,318
15:20:00,10596,8394,1027,328,358,322
15:25:00,10719,8548,1045,334,359,326
15:30:00,10835,8674,1062,339,364,327
15:35:00,10956,8804,1073,342,366,334
15:40:00,11077,8933,1095,349,369,338
15:45:00,11191,9078,1111,353,373,343
15:50:00,11306,9200,1126,358,375,344
15:55:00,11431,9345,1142,362,382,346
16:00:00,11552,9470,1160,367,386,348
16:05:00,11686,9616,1173,368,391,353
16:10:00,11831,9741,1186,371,392,354
16:15:00,11929,9895,1200,376,399,357
16:20:00,12049,10023,1214,380,401,364
16:25:00,12161,10163,1231,382,409,367
16:30:00,12291,10310,1240,385,413,369
16:35:00,12407,10437,1251,386,415,372
16:40:00,12513,10554,1259,389,418,376
16:45:00,12634,10682,1270,391,422,381
16:50:00,12751,10832,1283,394,425,382
16:55:00,12842,10967,1287,397,427,385
17:00:00,12951,11072,1291,400,431,388
17:05:00,13065,11197,1303,401,436,392
17:10:00,13206,11315,1315,403,437,393
17:15:00,13356,11419,1329,404,439,397
17:20:00,13499,11536,1340,404,440,400
17:25:00,13642,11649,1361,406,441,402
17:30:00,13782,11772,1371,408,443,407
17:35:00,13914,11897,1391,408,445,409
17:40:00,14038,12003,1400,410,447,411
17:45:00,14162,12119,1411,413,450,415
17:50:00,14271,12215,1432,413,451,420
17:55:00,14394,12323,1445,414,453,423
18:00:00,14518,12420,1464,415,456,427
18:05:00,14630,12527,1486,415,460,431
18:10:00,14719,12668,1492,416,463,434
18:15:00,14803,12819,1498,420,465,436
18:20:00,14885,12973,1509,421,471,438
18:25:00,14968,13114,1515,422,473,443
18:30:00,15041,13253,1518,425,476,446
18:35:00,15132,13381,1522,426,480,447
18:40:00,15217,13514,1524,428,486,449
18:45:00,15294,13643,1525,428,492,453
18:50:00,15369,13767,1526,431,496,455
18:55:00,15433,13888,1527,435,498,460
19:00:00,15491,13994,1527,440,500,463
19:05:00,15554,14107,1528,444,501,464
19:10:00,15624,14211,1529,445,502,467
19:15:00,15689,14318,1529,448,504,470
19:20:00,15751,14421,1529,453,505,472
19:25:00,15807,14540,1530,455,506,473
19:30:00,15870,14648,1531,458,507,476
19:35:00,15916,14749,1532,461,508,479
19:40:00,15971,14851,1534,462,508,480
19:45:00,16020,14961,1534,463,512,481
19:50:00,16082,15056,1535,466,512,484
19:55:00,16138,15138,1535,467,512,488
20:00:00,16197,15222,1535,469,514,490
20:05:00,16247,15316,1535,471,517,493
20:10:00,16307,15386,1535,472,518,494
20:15:00,16352,15472,1538,475,522,494
20:20:00,16414,15549,1541,476,523,498
20:25:00,16470,15655,1542,484,525,500
20:30:00,16518,15775,1542,488,525,501
20:35:00,16569,15879,1543,489,525,503
20:40:00,16627,15968,1544,490,527,506
20:45:00,16677,16072,1544,492,529,510
20:50:00,16724,16173,1544,495,533,512
20:55:00,16776,16259,1544,496,533,514
21:00:00,16826,16326,1547,497,535,515
21:05:00,16884,16394,1547,503,539,518
21:10:00,16939,16472,1548,503,540,519
21:15:00,16990,16563,1548,504,541,521
21:20:00,17046,16656,1549,504,541,523
21:25:00,17104,16743,1549,505,542,523
21:30:00,17142,16835,1549,505,542,524
21:35:00,17188,16933,1550,507,544,526
21:40:00,17229,17025,1550,510,544,528
21:45:00,17274,17117,1550,514,545,529
21:50:00,17314,17203,1550,515,546,530
21:55:00,17360,17294,1550,519,547,534
22:00:00,17400,17376,1550,522,547,538
22:05:00,17444,17460,1550,524,551,538
22:10:00,17480,17546,1550,525,551,539
22:15:00,17529,17624,1552,525,554,540
22:20:00,17567,17724,1553,526,554,541
22:25:00,17597,17802,1553,527,554,543
22:30:00,17633,17866,1553,529,555,547
22:35:00,17665,17918,1554,530,555,549
22:40:00,17690,17979,1554,530,555,549
22:45:00,17724,18033,1554,531,556,551
22:50:00,17748,18097,1554,533,556,553
22:55:00,17783,18165,1555,536,557,553
23:00:00,17817,18212,1555,536,557,554
23:05:00,17846,18273,1556,539,558,554
23:10:00,17875,18336,1556,540,558,556
23:15:00,17899,18414,1556,542,558,559
23:20:00,17927,18486,1556,542,558,562
23:25:00,17957,18553,1558,544,558,566
23:30:00,17977,18618,1558,547,558,567
23:35:00,17999,18676,1558,549,558,567
23:40:00,18019,18722,1558,550,558,568
23:45:00,18044,18746,1558,552,558,568
23:50:00,18062,18792,1559,552,558,568
23:55:00,18083,18831,1559,553,558,569
0:00:00,18103,18875,1559,553,558,569
