,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,,,,,,
0:10:00,,,,,,
0:15:00,,,,,,
0:20:00,,,,,,
0:25:00,,,,,,
0:30:00,,,,,,
0:35:00,,,,,,
0:40:00,,,,,,
0:45:00,,,,,,
0:50:00,,,,,,
0:55:00,,,,,,
1:00:00,,,,,,
1:05:00,,,,,,
1:10:00,,,,,,
1:15:00,,,,,,
1:20:00,,,,,,
1:25:00,,,,,,
1:30:00,,,,,,
1:35:00,,,,,,
1:40:00,,,,,,
1:45:00,,,,,,
1:50:00,,,,,,
1:55:00,,,,,,
2:00:00,,,,,,
2:05:00,,,,,,
2:10:00,,,,,,
2:15:00,,,,,,
2:20:00,,,,,,
2:25:00,,,,,,
2:30:00,,,,,,
2:35:00,,,,,,
2:40:00,,,,,,
2:45:00,,,,,,
2:50:00,,,,,,
2:55:00,,,,,,
3:00:00,,,,,,
3:05:00,,,,,,
3:10:00,,,,,,
3:15:00,,,,,,
3:20:00,,,,,,
3:25:00,,,,,,
3:30:00,,,,,,
3:35:00,,,,,,
3:40:00,,,,,,
3:45:00,,,,,,
3:50:00,,,,,,
3:55:00,,,,,,
4:00:00,,,,,,
4:05:00,,,,,,
4:10:00,,,,,,
4:15:00,,,,,,
4:20:00,,,,,,
4:25:00,,,,,,
4:30:00,,,,,,
4:35:00,,,,,,
4:40:00,,,,,,
4:45:00,,,,,,
4:50:00,,,,,,
4:55:00,,,,,,
5:00:00,,,,,,
5:05:00,,,,,,
5:10:00,,,,,,
5:15:00,,,,,,
5:20:00,,,,,,
5:25:00,,,,,,
5:30:00,,,,,,
5:35:00,,,,,,
5:40:00,,,,,,
5:45:00,,,,,,
5:50:00,,,,,,
5:55:00,,,,,,
6:00:00,,,,,,
6:05:00,,,,,,
6:10:00,,,,,,
6:15:00,,,,,,
6:20:00,,,,,,
6:25:00,,,,,,
6:30:00,,,,,,
6:35:00,,,,,,
6:40:00,,,,,,
6:45:00,,,,,,
6:50:00,,,,,,
6:55:00,,,,,,
7:00:00,,,,,,
7:05:00,,,,,,
7:10:00,,,,,,
7:15:00,,,,,,
7:20:00,,,,,,
7:25:00,,,,,,
7:30:00,,,,,,
7:35:00,,,,,,
7:40:00,,,,,,
7:45:00,,,,,,
7:50:00,,,,,,
7:55:00,,,,,,
8:00:00,,,,,,
8:05:00,,,,,,
8:10:00,,,,,,
8:15:00,,,,,,
8:20:00,,,,,,
8:25:00,,,,,,
8:30:00,,,,,,
8:35:00,,,,,,
8:40:00,,,,,,
8:45:00,,,,,,
8:50:00,,,,,,
8:55:00,,,,,,
9:00:00,,,,,,
9:05:00,39,24,9,11,0,1
9:10:00,60,44,18,25,2,1
9:15:00,85,59,22,32,2,3
9:20:00,105,87,26,39,3,5
9:25:00,125,102,31,50,4,8
9:30:00,137,130,33,63,4,9
9:35:00,164,147,37,77,6,9
9:40:00,184,161,40,88,8,10
9:45:00,200,181,50,97,8,12
9:50:00,220,195,55,100,8,12
9:55:00,235,202,59,111,8,13
10:00:00,256,216,64,116,9,14
10:05:00,281,231,69,120,11,15
10:10:00,296,249,79,122,11,16
10:15:00,319,265,86,130,12,16
10:20:00,343,278,92,135,12,17
10:25:00,362,290,99,141,14,17
10:30:00,382,304,101,144,14,18
10:35:00,405,324,117,155,14,18
10:40:00,428,341,123,162,14,18
10:45:00,456,354,134,166,17,20
10:50:00,472,373,146,173,19,20
10:55:00,492,385,149,177,19,22
11:00:00,517,405,155,187,20,25
11:05:00,539,418,168,204,21,26
11:10:00,560,432,174,207,27,26
11:15:00,583,439,180,212,28,28
11:20:00,604,453,187,218,28,29
11:25:00,620,473,201,228,28,29
11:30:00,636,487,205,239,31,31
11:35:00,656,504,214,251,34,31
11:40:00,687,523,224,259,37,31
11:45:00,705,544,231,266,39,32
11:50:00,730,559,239,277,39,36
11:55:00,748,571,250,286,40,37
12:00:00,762,583,259,296,41,37
12:05:00,782,604,269,307,42,38
12:10:00,810,619,279,318,43,38
12:15:00,833,634,291,324,47,39
12:20:00,854,648,301,338,53,40
12:25:00,878,668,310,350,54,41
12:30:00,901,683,320,361,55,42
12:35:00,922,699,331,368,57,43
12:40:00,948,714,341,373,58,44
12:45:00,973,738,355,387,61,48
12:50:00,986,751,364,390,61,48
12:55:00,1011,768,377,396,62,49
13:00:00,1028,787,383,404,64,55
13:05:00,1044,802,396,413,67,55
13:10:00,1057,824,403,418,68,56
13:15:00,1082,841,417,426,68,57
13:20:00,1104,861,425,435,70,58
13:25:00,1125,878,435,442,73,61
13:30:00,1146,900,443,454,74,62
13:35:00,1171,921,455,462,75,63
13:40:00,1190,937,464,473,75,65
13:45:00,1207,954,474,487,78,66
13:50:00,1229,971,486,504,79,68
13:55:00,1255,993,498,514,81,68
14:00:00,1278,1006,509,529,82,69
14:05:00,1299,1021,521,540,86,70
14:10:00,,,,,,
14:15:00,,,,,,
14:20:00,,,,,,
14:25:00,,,,,,
14:30:00,,,,,,
14:35:00,,,,,,
14:40:00,,,,,,
14:45:00,1330,1059,536,548,91,72
14:50:00,1348,1080,544,556,92,73
14:55:00,1366,1102,552,563,93,74
15:00:00,1383,1119,563,570,95,75
15:05:00,1400,1136,566,575,97,75
15:10:00,1418,1156,575,585,101,75
15:15:00,1438,1176,587,598,105,80
15:20:00,1463,1203,596,612,108,81
15:25:00,1491,1240,608,625,113,85
15:30:00,1509,1266,623,637,116,87
15:35:00,1528,1294,631,651,120,87
15:40:00,1555,1324,650,656,122,90
15:45:00,1586,1345,663,663,125,90
15:50:00,1602,1369,672,670,125,90
15:55:00,1624,1390,687,681,128,92
16:00:00,1639,1404,694,693,131,94
16:05:00,1658,1433,704,705,132,95
16:10:00,,,,,,
16:15:00,,,,,,
16:20:00,,,,,,
16:25:00,,,,,,
16:30:00,1689,1458,726,715,133,98
16:35:00,1708,1480,733,728,134,101
16:40:00,1736,1506,748,743,137,102
16:45:00,1751,1528,767,753,139,103
16:50:00,1774,1556,779,763,140,105
16:55:00,1803,1581,795,770,141,108
17:00:00,1822,1605,804,782,142,111
17:05:00,1835,1633,814,798,144,112
17:10:00,1859,1666,825,807,146,116
17:15:00,1885,1691,836,821,148,117
17:20:00,1918,1719,850,836,149,120
17:25:00,1941,1747,864,845,149,122
17:30:00,1972,1772,878,857,150,123
17:35:00,1998,1797,895,873,150,124
17:40:00,2026,1820,906,885,155,125
17:45:00,2050,1843,919,894,156,128
17:50:00,2075,1857,926,904,158,128
17:55:00,2106,1885,940,912,159,128
18:00:00,2126,1913,956,930,159,129
18:05:00,2153,1936,966,945,165,129
