,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,,,,,,
0:10:00,,,,,,
0:15:00,,,,,,
0:20:00,,,,,,
0:25:00,,,,,,
0:30:00,,,,,,
0:35:00,,,,,,
0:40:00,,,,,,
0:45:00,7,4,0,0,1,0
0:50:00,10,15,0,0,1,1
0:55:00,14,26,0,1,1,2
1:00:00,17,37,0,3,1,2
1:05:00,18,51,1,4,2,2
1:10:00,25,58,2,5,2,2
1:15:00,30,69,2,6,2,3
1:20:00,32,79,2,8,2,3
1:25:00,37,91,3,11,2,3
1:30:00,39,101,4,12,2,3
1:35:00,44,108,4,12,2,3
1:40:00,48,114,5,13,2,4
1:45:00,49,120,5,13,2,5
1:50:00,54,132,5,14,2,5
1:55:00,57,141,5,14,2,5
2:00:00,61,146,5,16,2,5
2:05:00,65,149,5,17,2,7
2:10:00,69,154,5,19,2,7
2:15:00,71,158,5,19,2,8
2:20:00,77,170,5,21,3,8
2:25:00,80,173,6,22,3,8
2:30:00,83,177,6,23,3,8
2:35:00,88,183,7,23,4,8
2:40:00,92,187,7,24,4,8
2:45:00,104,190,7,26,5,10
2:50:00,111,201,7,28,5,11
2:55:00,112,205,7,28,6,12
3:00:00,119,209,9,28,6,12
3:05:00,123,215,9,28,6,12
3:10:00,128,220,10,34,6,12
3:15:00,136,228,10,35,6,12
3:20:00,144,232,11,35,6,12
3:25:00,154,235,11,35,7,12
3:30:00,159,237,11,35,8,12
3:35:00,167,241,12,35,8,12
3:40:00,179,244,13,37,8,12
3:45:00,193,252,13,38,8,12
3:50:00,201,261,13,38,8,12
3:55:00,,,,,,
4:00:00,,,,,,
4:05:00,,,,,,
4:10:00,,,,,,
4:15:00,,,,,,
4:20:00,,,,,,
4:25:00,,,,,,
4:30:00,,,,,,
4:35:00,,,,,,
4:40:00,,,,,,
4:45:00,,,,,,
4:50:00,,,,,,
4:55:00,,,,,,
5:00:00,,,,,,
5:05:00,,,,,,
5:10:00,,,,,,
5:15:00,,,,,,
5:20:00,,,,,,
5:25:00,,,,,,
5:30:00,,,,,,
5:35:00,,,,,,
5:40:00,,,,,,
5:45:00,,,,,,
5:50:00,,,,,,
5:55:00,,,,,,
6:00:00,,,,,,
6:05:00,,,,,,
6:10:00,,,,,,
6:15:00,,,,,,
6:20:00,,,,,,
6:25:00,,,,,,
6:30:00,,,,,,
6:35:00,,,,,,
6:40:00,,,,,,
6:45:00,,,,,,
6:50:00,,,,,,
6:55:00,,,,,,
7:00:00,,,,,,
7:05:00,,,,,,
7:10:00,,,,,,
7:15:00,,,,,,
7:20:00,,,,,,
7:25:00,,,,,,
7:30:00,,,,,,
7:35:00,,,,,,
7:40:00,,,,,,
7:45:00,,,,,,
7:50:00,,,,,,
7:55:00,,,,,,
8:00:00,,,,,,
8:05:00,,,,,,
8:10:00,,,,,,
8:15:00,,,,,,
8:20:00,,,,,,
8:25:00,,,,,,
8:30:00,,,,,,
8:35:00,,,,,,
8:40:00,,,,,,
8:45:00,,,,,,
8:50:00,,,,,,
8:55:00,,,,,,
9:00:00,,,,,,
9:05:00,,,,,,
9:10:00,,,,,,
9:15:00,,,,,,
9:20:00,,,,,,
9:25:00,,,,,,
9:30:00,,,,,,
9:35:00,,,,,,
9:40:00,270,300,25,62,9,15
9:45:00,340,339,39,83,12,18
9:50:00,390,385,49,100,12,19
9:55:00,434,426,60,114,13,20
10:00:00,494,467,79,129,13,23
10:05:00,570,519,96,144,13,27
10:10:00,628,555,105,155,13,30
10:15:00,696,593,124,169,15,32
10:20:00,759,639,134,183,18,32
10:25:00,827,678,157,206,21,37
10:30:00,885,726,173,225,26,37
10:35:00,944,752,195,251,29,37
10:40:00,1002,791,212,269,31,39
10:45:00,1052,817,232,291,33,42
10:50:00,1108,862,248,309,34,45
10:55:00,1171,900,264,334,37,47
11:00:00,1227,936,285,347,41,48
11:05:00,1296,976,301,364,47,52
11:10:00,1359,1023,324,384,49,55
11:15:00,1416,1055,347,395,54,59
11:20:00,1479,1089,372,407,60,60
11:25:00,1528,1136,388,421,63,67
11:30:00,1592,1179,402,444,70,68
11:35:00,1658,1220,417,463,74,70
11:40:00,1713,1266,433,485,76,72
11:45:00,1754,1306,451,500,77,73
11:50:00,1823,1337,480,519,81,74
11:55:00,1881,1368,498,541,83,79
12:00:00,1933,1416,514,566,89,83
12:05:00,1995,1451,537,585,91,85
12:10:00,2031,1491,559,600,95,87
12:15:00,2090,1526,578,617,96,89
12:20:00,2147,1564,597,640,102,89
12:25:00,2203,1620,616,660,104,92
12:30:00,2267,1662,639,682,109,92
12:35:00,2331,1698,667,698,111,99
12:40:00,2379,1735,689,711,119,102
12:45:00,2429,1785,710,723,123,103
12:50:00,2484,1829,740,746,125,104
12:55:00,2538,1885,760,762,132,107
13:00:00,2591,1930,780,783,135,108
13:05:00,2640,1971,792,797,137,109
13:10:00,2695,2007,815,815,140,112
13:15:00,2732,2052,839,836,143,117
13:20:00,2781,2096,864,856,145,118
13:25:00,2832,2145,888,870,148,121
13:30:00,2883,2189,913,896,153,121
13:35:00,2947,2224,935,916,154,125
13:40:00,2996,2265,956,939,158,125
13:45:00,3041,2303,979,963,161,130
13:50:00,3090,2341,992,991,164,133
13:55:00,3136,2371,1010,1013,170,135
14:00:00,3186,2417,1034,1036,172,136
14:05:00,3236,2461,1061,1060,177,139
14:10:00,3282,2504,1083,1080,178,142
14:15:00,3331,2544,1104,1101,181,147
14:20:00,3379,2599,1136,1118,188,147
14:25:00,3444,2629,1172,1140,192,148
14:30:00,3504,2677,1205,1164,198,151
14:35:00,3568,2715,1233,1194,201,152
14:40:00,3612,2767,1273,1214,207,154
14:45:00,3663,2808,1307,1234,211,155
14:50:00,3708,2851,1353,1260,221,157
14:55:00,3753,2895,1387,1285,226,160
15:00:00,3811,2941,1425,1307,228,161
15:05:00,3865,2979,1471,1336,231,162
15:10:00,3913,3027,1510,1365,233,163
15:15:00,3965,3082,1539,1381,236,165
15:20:00,4002,3123,1568,1405,240,168
15:25:00,4048,3158,1594,1434,244,174
15:30:00,4098,3197,1618,1458,248,176
15:35:00,4147,3253,1638,1488,253,178
15:40:00,4206,3314,1671,1514,258,183
15:45:00,4256,3370,1704,1545,263,187
15:50:00,4309,3430,1734,1572,267,188
15:55:00,4361,3473,1768,1600,271,192
16:00:00,4409,3519,1793,1634,277,194
16:05:00,4460,3573,1827,1668,282,195
16:10:00,4514,3625,1849,1696,288,198
16:15:00,4565,3671,1880,1723,293,202
16:20:00,4615,3723,1919,1751,298,208
16:25:00,4687,3777,1949,1783,302,211
